Date,MAD_vol_normal_2D,MAD_vol_normal_5D,MAD_vol_normal_10D,MAD_vol_normal_30D,MAD_vol_normal_2M,MAD_vol_normal_3M,MAD_vol_normal_6M,MAD_vol_normal_1Y
2013-09-30,-1.5199793058632474,-0.6193238896069778,-0.45889484299818345,-0.779113750642058,-0.893414734789551,-0.9177082314863729,-0.7906067943227254,0.0
2014-09-29,-0.16650993261935534,-0.35775736179099327,-0.5862485452300042,-0.6364642935122897,-0.5705581231948765,-0.5849497196863574,-0.6140897341169462,-0.5381814826349928
2015-09-28,-2.080611522580767,-1.246056021606268,-1.9931691225713892,-0.979496227916399,-1.1465915286316253,-1.616887420110643,-1.561194797350833,-1.692822849903488
2016-09-26,0.09138680591823527,0.09928917380824764,0.06765688682532588,0.14020139705839846,0.14713744739797696,0.14613806055186074,0.12993888189663175,0.1254683752056103
2017-10-02,-0.28407224095762557,-0.21563076630229014,-0.18578186208498962,-0.18984005743990456,-0.18668929583797364,-0.1969401674182004,-0.2619533912615018,-0.24261051639733164
2018-10-01,0.9033507653739682,1.1961352593616457,0.6129621385068028,0.5814019213470004,0.7194257398624251,0.7268340313563375,0.6242444474568966,0.67734214584656
2019-09-30,2.207304322601638,2.669953132003829,3.098593802506423,1.575533164335296,1.6752851373264697,1.6731920598083458,1.7893448909052982,1.7247221106901145
2020-09-28,1.5968463819503693,0.7180754605451362,0.8746593863503466,0.7195897387899715,0.9164534250719453,1.194025167553926,1.0179837445456215,1.3737432886457375
2021-09-27,-1.653763535399339,-0.725729027882497,-0.7338533087860624,-0.8399066552522324,-0.8188185155752133,-0.8883117681980748,-0.6972414714650651,-0.6517647359421289
2022-09-26,0.23124680389834695,0.13122104278913285,0.11793969112558947,0.13866477889847928,0.12059052954091373,0.10462397864225369,0.10341626836819669,0.1370000632514794
